epochs,disc_fake_loss,disc_real_loss,gan_loss,mean_disc_loss
0,0.6954478621482849,0.7146767377853394,0.6916401386260986,0.7050622999668121
1,0.7161768674850464,0.5201593637466431,0.6682920455932617,0.6181681156158447
2,0.8730262517929077,0.3581536114215851,0.6087005138397217,0.6155899316072464
3,1.0761970281600952,0.34701263904571533,0.6477843523025513,0.7116048336029053
4,0.7380090951919556,0.4300687909126282,0.9372060894966125,0.5840389430522919
5,0.5547347664833069,0.4172779321670532,1.231180191040039,0.48600634932518005
6,0.6228891611099243,0.42945268750190735,0.875694215297699,0.5261709243059158
7,0.7053644061088562,0.4639895260334015,0.7225238084793091,0.5846769660711288
8,0.7054527401924133,0.416500985622406,0.6990734338760376,0.5609768629074097
9,0.7053053975105286,0.378383994102478,0.6951797604560852,0.5418446958065033
10,0.6961156129837036,0.3570178151130676,0.7023351788520813,0.5265667140483856
11,0.6830254793167114,0.3481675386428833,0.7158104181289673,0.5155965089797974
12,0.6712955236434937,0.36214926838874817,0.7288953065872192,0.5167223960161209
13,0.66807621717453,0.3406238257884979,0.7303661108016968,0.504350021481514
14,0.6723325252532959,0.35388636589050293,0.7211374044418335,0.5131094455718994
15,0.6753883361816406,0.34982943534851074,0.7147790789604187,0.5126088857650757
16,0.6733396053314209,0.3658031225204468,0.718485414981842,0.5195713639259338
17,0.6708166599273682,0.3605821132659912,0.7210180163383484,0.5156993865966797
18,0.6705811023712158,0.36557453870773315,0.7301836013793945,0.5180778205394745
19,0.6597028374671936,0.3465389013290405,0.7527909278869629,0.5031208693981171
20,0.6429923176765442,0.3114085793495178,0.7807764410972595,0.477200448513031
21,0.6196924448013306,0.34162983298301697,0.8255712985992432,0.48066113889217377
22,0.624091625213623,0.4096466302871704,0.7740622758865356,0.5168691277503967
23,0.6404563188552856,0.5483726263046265,0.7839436531066895,0.594414472579956
24,0.6642191410064697,0.3484816551208496,0.8192031979560852,0.5063503980636597
25,0.640531063079834,0.3478057086467743,0.9962154030799866,0.49416838586330414
26,0.5776199102401733,0.34019166231155396,1.004624366760254,0.45890578627586365
27,0.5458416938781738,0.38308680057525635,0.9747001528739929,0.4644642472267151
28,0.5011173486709595,0.32535314559936523,1.114748239517212,0.41323524713516235
29,0.4442446231842041,0.3410940170288086,1.3352317810058594,0.39266932010650635
30,0.3991621434688568,0.33569881319999695,1.8175222873687744,0.3674304783344269
31,0.3416817784309387,0.3416018784046173,2.5270440578460693,0.341641828417778
32,0.3220067024230957,0.3106248676776886,2.1756887435913086,0.31631578505039215
33,1.1080483198165894,0.35546234250068665,3.5992414951324463,0.731755331158638
34,0.6472912430763245,0.7182365655899048,0.9139329195022583,0.6827639043331146
35,0.6955896019935608,0.34385794401168823,0.7238262891769409,0.5197237730026245
36,0.6935473680496216,0.34196317195892334,0.761874794960022,0.5177552700042725
37,0.6627413034439087,0.3517901599407196,0.8719657063484192,0.5072657316923141
38,0.5643834471702576,0.36947742104530334,1.312613844871521,0.46693043410778046
39,0.6324069499969482,0.5784286856651306,0.8225647211074829,0.6054178178310394
40,0.5962469577789307,0.7553127408027649,0.8821764588356018,0.6757798492908478
41,0.589259684085846,0.3973826467990875,0.9890766143798828,0.49332116544246674
42,0.5347076654434204,0.3724724352359772,1.2270338535308838,0.4535900503396988
43,0.5261287093162537,0.3917972147464752,1.1320511102676392,0.45896296203136444
44,0.8664801120758057,0.41130775213241577,0.7108262181282043,0.6388939321041107
45,0.6842058897018433,0.36878395080566406,1.18564772605896,0.5264949202537537
46,0.42663031816482544,0.3586409091949463,3.355490207672119,0.39263561367988586
47,0.40891510248184204,0.3744112551212311,1.6217037439346313,0.39166317880153656
48,0.42570561170578003,0.3745404779911041,1.4222404956817627,0.4001230448484421
49,0.4260029196739197,0.3378751873970032,1.6318178176879883,0.3819390535354614
50,0.3683558702468872,0.39119136333465576,2.6060993671417236,0.3797736167907715
51,0.3488013446331024,0.3908386826515198,2.518080234527588,0.3698200136423111
52,0.3263728618621826,0.3744295835494995,1.9399890899658203,0.35040122270584106
53,0.6476579308509827,0.3471316695213318,4.8939666748046875,0.4973948001861572
54,0.3890693485736847,0.3482770323753357,1.8982865810394287,0.3686731904745102
55,0.5327733159065247,0.3653632402420044,1.6434231996536255,0.4490682780742645
56,0.3360649049282074,0.3259119391441345,2.4756245613098145,0.33098842203617096
57,0.32576557993888855,0.362438440322876,2.065722703933716,0.34410201013088226
58,0.3372230529785156,0.35334885120391846,2.046630620956421,0.34528595209121704
59,0.4850444197654724,0.34825676679611206,6.123675346374512,0.41665059328079224
60,0.32727187871932983,0.43461665511131287,1.7458677291870117,0.38094426691532135
61,0.5854247808456421,0.36912253499031067,1.9207954406738281,0.4772736579179764
62,0.32750922441482544,0.3544180989265442,2.5191357135772705,0.3409636616706848
63,0.5128026604652405,0.45590460300445557,1.7441668510437012,0.484353631734848
64,0.3981294631958008,0.3678029775619507,2.307368040084839,0.38296622037887573
65,0.3417855501174927,0.4208641052246094,2.0949249267578125,0.381324827671051
66,0.3843643069267273,0.3430483341217041,2.752415895462036,0.3637063205242157
67,0.34009110927581787,0.3507663309574127,2.122798442840576,0.3454287201166153
68,0.425998330116272,0.35559165477752686,2.7414848804473877,0.3907949924468994
69,0.35843053460121155,0.3435209393501282,2.60243558883667,0.35097573697566986
70,0.45630794763565063,0.35050320625305176,2.714951992034912,0.4034055769443512
71,0.33015549182891846,0.44515806436538696,2.147862434387207,0.3876567780971527
72,0.4509586691856384,0.41668200492858887,2.9180235862731934,0.43382033705711365
73,0.41900524497032166,0.3655998110771179,7.034065246582031,0.3923025280237198
