epochs,disc_fake_loss,disc_real_loss,gan_loss
0,0.6950236558914185,0.730528712272644,0.6919779181480408
1,0.7034443020820618,0.5728678703308105,0.6830126643180847
2,0.7639114260673523,0.4485229551792145,0.6408699750900269
3,0.9924931526184082,0.35372263193130493,0.6123936176300049
4,0.850028395652771,0.38098257780075073,0.8997833728790283
5,0.5803930163383484,0.4454718232154846,1.020942211151123
6,0.6597434282302856,0.46116191148757935,0.7877416610717773
7,0.7654858231544495,0.522276759147644,0.6846604347229004
8,0.7811633348464966,0.387461394071579,0.6819438338279724
9,0.706770122051239,0.3578784167766571,0.7657904028892517
10,0.626316249370575,0.3537273406982422,0.8355227708816528
11,0.659104585647583,0.3230084180831909,0.7438249588012695
12,0.7042592763900757,0.33916181325912476,0.6888308525085449
13,0.7172423601150513,0.3376823663711548,0.6885837316513062
14,0.7128461599349976,0.3275834918022156,0.697525680065155
15,0.7090781927108765,0.3549737334251404,0.7125535011291504
16,0.7098451256752014,0.3485885262489319,0.7132733464241028
17,0.6809723973274231,0.3557947874069214,0.7409865260124207
18,0.6681381464004517,0.3708413541316986,0.7333945035934448
19,0.6720876097679138,0.3530813753604889,0.720531702041626
20,0.6715028285980225,0.3508760929107666,0.7200412750244141
21,0.672139585018158,0.34490475058555603,0.7175318002700806
22,0.6707854866981506,0.34557420015335083,0.7204015851020813
23,0.6702548861503601,0.3296075165271759,0.7217981815338135
24,0.6695036292076111,0.355221152305603,0.7249221801757812
25,0.678415060043335,0.3512195944786072,0.721057653427124
26,0.701900064945221,0.3408633768558502,0.7471364140510559
27,0.7039022445678711,0.37531596422195435,0.73344486951828
28,0.7116219997406006,0.3649895191192627,0.7761145830154419
29,0.755957841873169,0.44456878304481506,0.7310706377029419
30,0.8503821492195129,0.3397310972213745,0.6804625988006592
31,1.0415141582489014,0.41069138050079346,0.6780518889427185
32,0.6774892807006836,0.4140142798423767,1.061758279800415
33,0.9381902813911438,0.43492093682289124,0.7337430715560913
34,1.0986427068710327,0.4857536256313324,0.7169121503829956
35,0.6303552985191345,0.5931944847106934,1.169820785522461
36,0.5882948637008667,0.5235711336135864,0.9565378427505493
37,0.6864644289016724,0.45125043392181396,0.7284269332885742
38,0.8975801467895508,0.389024943113327,0.653303861618042
39,1.0061275959014893,0.3752281665802002,0.744373619556427
40,0.5676419138908386,0.42569321393966675,1.6318368911743164
41,0.53591388463974,0.49658405780792236,1.1207025051116943
42,0.5485040545463562,0.4610329866409302,1.0743367671966553
43,0.5268844366073608,0.36387211084365845,1.063642144203186
44,0.6061177253723145,0.38439589738845825,0.8354608416557312
45,0.6514941453933716,0.3851688504219055,0.7897771000862122
46,0.7795761823654175,0.3767821788787842,0.764934241771698
47,0.8191078305244446,0.3551453948020935,1.2211248874664307
48,0.5139564871788025,0.4536699652671814,1.1934239864349365
49,0.5432978272438049,0.43319156765937805,1.1436139345169067
50,0.5164846181869507,0.3982536196708679,1.3228074312210083
51,0.5265985131263733,0.3898937702178955,1.388347864151001
52,0.5960754156112671,0.40708640217781067,2.845781087875366
53,0.4599895477294922,0.62673419713974,1.2376251220703125
54,0.6059293746948242,0.3181054890155792,1.6441783905029297
55,0.8268448114395142,0.41302934288978577,1.085201621055603
56,0.8983463048934937,0.5081220269203186,1.6589581966400146
57,0.8613565564155579,0.5604294538497925,3.1983447074890137
58,0.6028721928596497,0.548283040523529,3.6228671073913574
59,0.35333406925201416,0.5997333526611328,2.4853944778442383
60,1.033900260925293,0.4147123098373413,2.6436519622802734
61,0.45292365550994873,0.6624301075935364,1.9586975574493408
62,0.8850016593933105,0.7529947757720947,1.3975584506988525
63,0.8055444359779358,0.6766233444213867,1.432846188545227
64,0.5651537179946899,0.6984962821006775,1.651672601699829
65,0.4574431777000427,0.6612333059310913,1.647777795791626
66,0.5020748376846313,0.6351743936538696,1.521932601928711
67,0.5183737277984619,0.591712236404419,1.5145069360733032
68,0.47773846983909607,0.5638082027435303,1.65822172164917
69,0.456447958946228,0.5817031860351562,1.638932704925537
70,0.4404757022857666,0.530204713344574,1.6766958236694336
71,0.44304320216178894,0.5264282822608948,1.766489863395691
72,0.48042356967926025,0.5186702013015747,1.8785313367843628
73,0.4732252061367035,0.5083669424057007,2.1297192573547363
74,0.4007854461669922,0.5463098287582397,2.4109444618225098
75,0.36347833275794983,0.5190989971160889,2.403726816177368
76,0.49725741147994995,0.4746863842010498,2.381901741027832
77,0.4335459768772125,0.44356292486190796,2.3035049438476562
78,0.6109579801559448,0.5320711135864258,2.304934501647949
79,0.5047670602798462,0.7232853770256042,2.0921459197998047
80,0.4146651029586792,0.580848217010498,1.8442847728729248
81,0.4441581070423126,0.4372285008430481,1.6972094774246216
82,0.45844483375549316,0.4304382801055908,1.2964708805084229
83,1.001735806465149,0.4428110718727112,1.2716662883758545
84,0.6423718929290771,0.6369762420654297,1.5974256992340088
85,0.41576898097991943,0.5573435425758362,1.888073444366455
86,0.4473412334918976,0.4770709276199341,1.7747424840927124
87,0.5270562171936035,0.4209827482700348,2.042924165725708
88,0.6318947672843933,0.5292426347732544,1.3714842796325684
89,0.502396821975708,0.6567230224609375,1.747560739517212
90,0.3799366354942322,0.3987067639827728,2.110325336456299
91,0.6481881737709045,0.483633816242218,1.763578176498413
92,0.7364778518676758,0.5758784413337708,1.7688559293746948
93,0.7671446800231934,0.7431000471115112,1.7938207387924194
94,0.4794204831123352,0.5632812976837158,1.8648908138275146
95,0.772508442401886,0.6349332332611084,2.3559818267822266
96,0.5245698690414429,0.7070237398147583,1.6271238327026367
97,0.7062091827392578,0.7218598127365112,1.9076517820358276
98,0.4421331286430359,0.6521891355514526,2.062946319580078
99,0.8379621505737305,0.6970944404602051,2.3362903594970703
100,0.35827285051345825,0.7117043137550354,2.0038669109344482
101,0.5589837431907654,0.6673203706741333,1.5317034721374512
102,0.5483155846595764,0.5069391131401062,1.858394980430603
103,0.48041823506355286,0.6391803026199341,1.808719515800476
104,0.49800699949264526,0.6191637516021729,1.739080548286438
105,0.4468775987625122,0.5158497095108032,1.7701480388641357
106,0.5096256732940674,0.5396609306335449,1.7362139225006104
107,0.38682860136032104,0.5330474972724915,1.9718101024627686
108,0.40565937757492065,0.4944286644458771,1.9555575847625732
109,0.4661107361316681,0.4685801565647125,1.9471718072891235
110,0.47498130798339844,0.5603772401809692,2.0735037326812744
111,0.4278978109359741,0.6697046756744385,1.8295201063156128
112,0.45905935764312744,0.5074583292007446,2.1247849464416504
113,0.43670979142189026,0.571609377861023,1.9752302169799805
114,0.549795389175415,0.5792433023452759,2.358088493347168
115,0.5381306409835815,0.7707585096359253,2.1760149002075195
116,0.4185439348220825,0.5572286248207092,2.020217180252075
117,0.6243332624435425,0.5533889532089233,2.1399619579315186
118,0.4910244941711426,0.6675451397895813,1.7091662883758545
119,0.5553674697875977,0.568793773651123,1.7032132148742676
120,0.4573040008544922,0.5604624152183533,2.4583942890167236
121,0.34210067987442017,0.47844433784484863,2.2693772315979004
122,0.4430593252182007,0.4492945671081543,1.7150287628173828
123,0.4732055962085724,0.4327612817287445,1.9605170488357544
124,0.4280795454978943,0.5064927339553833,2.0708870887756348
125,0.430381715297699,0.5618884563446045,2.1452832221984863
126,0.756171464920044,0.47672098875045776,3.2037248611450195
127,0.8995662927627563,0.8116049766540527,5.269404888153076
128,0.35894471406936646,0.6255726218223572,2.3618931770324707
129,0.47150281071662903,0.4677661955356598,2.651223659515381
130,0.32583147287368774,0.41476869583129883,2.185304641723633
